Haystack Point Type,Val Tags,New Tags,GDB Field,Enumerations
building air static pressure sensor point,,building static,building_air_static_pressure_sensor,[]
building air static pressure sp point,,building static,building_air_static_pressure_setpoint,[]
bypass valve cmd point,unit:percent,,bypass_valve_percentage_command,[]
entering chilled water temp sensor point,,,chilled_return_water_temperature_sensor,[]
leaving chilled water flow sensor point,,,chilled_supply_water_flowrate_sensor,[]
leaving chilled water temp sensor point,,,chilled_supply_water_temperature_sensor,[]
leaving chilled water temp sp point,,,chilled_supply_water_temperature_setpoint,[]
chilled water bypass valve cmd point,unit:percent,,chilled_water_bypass_valve_percentage_command,[]
chilled water bypass valve sensor point,unit:percent,,chilled_water_bypass_valve_percentage_sensor,[]
chilled water delta pressure sensor point,,,chilled_water_differential_pressure_sensor,[]
chilled water delta pressure sp point,,,chilled_water_differential_pressure_setpoint,[]
chilled water isolation valve cmd point,unit:percent,,chilled_water_isolation_valve_percentage_command,[]
chilled water isolation valve sensor point,unit:percent,,chilled_water_isolation_valve_percentage_sensor,[]
chilled water isolation valve cmd point,"enum:[OPEN,CLOSED]",,chilled_water_isolation_valve_command,"[OPEN,CLOSED]"
chilled water valve cmd point,unit:percent,,chilled_water_valve_percentage_command,[]
circ pump run sensor point,"enum:[ON,OFF]",,circulation_pump_run_status,"[ON,OFF]"
compressor run cmd point,"enum:[ON,OFF]",,compressor_run_command,"[ON,OFF]"
compressor run sensor point,"enum:[ON,OFF]",,compressor_run_status,"[ON,OFF]"
compressor speed cmd point,unit:percent,,compressor_speed_percentage_sensor,[]
refrig condenser saturation temp sensor point,,saturation,refrigerant_condenser_saturation_temperature_sensor,[]
leaving condenser water temp sensor point,,,condensing_return_water_temperature_sensor,[]
entering condenser water temp sensor point,,,condensing_supply_water_temperature_sensor,[]
entering condenser water temp sp point,,,condensing_supply_water_temperature_setpoint,[]
condenser water flow sensor point,,,condensing_water_flowrate_sensor,[]
,,,cooling_output_percentage_command,[]
elec current sensor point,,,current_sensor,[]
delta pressure sensor point,,,differential_pressure_sensor,[]
delta pressure sp point,,,differential_pressure_setpoint,[]
discharge air cooling temp sp point,,,discharge_air_cooling_temperature_setpoint,[]
discharge air heating temp sp point,,,discharge_air_heating_temperature_setpoint,[]
discharge air temp sensor point,,,discharge_air_temperature_sensor,[]
discharge air temp sp point,,,discharge_air_temperature_setpoint,[]
discharge fan elec current sensor point,,,discharge_fan_current_sensor,[]
discharge fan run cmd point,"enum:[ON,OFF]",,discharge_fan_run_command,"[ON,OFF]"
discharge fan run sensor point,"enum:[ON,OFF]",,discharge_fan_run_status,"[ON,OFF]"
discharge fan speed cmd point,"enum:[AUTO,LOW,MEDIUM,HIGH,OFF]",,discharge_fan_speed_mode,"[AUTO,LOW,MEDIUM,HIGH,OFF]"
discharge fan speed cmd point,unit:percent,,discharge_fan_speed_percentage_command,[]
,,,dryer_run_status,"[ON,OFF]"
economizing cmd point,"enum:[ON,OFF]",,economizer_mode,"[ON,OFF]"
evaporator pressure sensor point,,,evaporator_pressure_sensor,[]
refrig evaporator saturation temp sensor point,,saturation,refrigerant_evaporator_saturation_temperature_sensor,[]
exhaust damper cmd point,unit:percent,,exhaust_air_damper_percentage_command,[]
exhaust air temp sensor point,,,exhaust_air_temperature_sensor,[]
exhaust fan elec current sensor point,,,exhaust_fan_current_sensor,[]
exhaust fan elec power sensor point,,,exhaust_fan_power_sensor,[]
exhaust fan run cmd point,"enum:[ON,OFF]",,exhaust_fan_run_command,"[ON,OFF]"
exhaust fan run sensor point,"enum:[ON,OFF]",,exhaust_fan_run_status,"[ON,OFF]"
